alpha,beta,gamma,delta,theta
0.7383487386959284,-0.048188910140497976,-8.588026692714126e-09,0.0032847596510944058,0.5666293166052391
1.0783244461568173,-0.11144199723325489,1.2588367494655204e-08,-0.0011042348961805965,0.6663613184624184
-1.2565198303339813,-0.5120695015875174,1.401322015318238e-07,-0.019962109082208,0.5513666977365645
2.4618698193910955,-0.9414438601387211,1.2274350062026364e-07,-0.0035608192411656966,-0.4502219516978514
9.6609501915587,7.010006902753102,-2.3987556901962052e-06,0.670985000730438,-17.69622428450604
-43.312808704965505,16.58264212562491,-1.2241063023528757e-07,-0.004828568186295904,4.83486694389614
-10.297451260285468,-0.18491400894024604,-1.5202064465272964e-08,-0.016226386243716816,1.3843429952730995
