,County,Vote Center ID,Address,City
102,BIBB,11038,2910 ALLEN RD.,MACON
103,BIBB,11105,2003 RIVERSIDE DR,MACON
104,BIBB,11006,175 EMERY HWY.,MACON
105,BIBB,11027,432 FOREST HILL RD,MACON
106,BIBB,11119,1211 SHURLING DR,MACON
107,BIBB,11115,4354 JEFFERSONVILLE RD,MACON
108,BIBB,11024,1415 BASS RD,MACON
109,BLECKLEY,12002,290 ASH STREET,COCHRAN
110,BRANTLEY,13006,235 CHICAGO AVE,HOBOKEN
111,BRANTLEY,13003,789 BURTON ST,NAHUNTA
112,BRANTLEY,13010,25530 HWY 82,WAYNESVILLE
113,BROOKS,14011,190 MASSEY ST,BARWICK
114,BROOKS,14007,5110 DIXIE ROAD,DIXIE
115,BROOKS,14008,1290 CATES RD,VALDOSTA
116,BROOKS,14009,178 2ND ST,MORVEN
117,BROOKS,14001,400 E COURTLAND AVE,QUITMAN
118,BROOKS,14010,7246 MADISON HWY,QUITMAN
119,BROOKS,14003,128 HARRIS ST,PAVO
120,BRYAN,15007,8810 HIGHWAY 280 E,BLACK CREEK
121,BRYAN,15013,66 CAPT MATTHEW FREEMAN,RICHMOND HILL
122,BRYAN,15011,580 DANIELSIDING LOOP RD,RICHMOND HILL
123,BRYAN,15002,9184 FORD AVENUE,RICHMOND HILL
124,BRYAN,15020,91 LANIER ST,PEMBROKE
125,BRYAN,15003,4060 WILMA EDWARDS RD,ELLABELL
126,BRYAN,15005,500 CEDAR ST,RICHMOND HILL
127,BRYAN,15010,16252 GA HWY 144,RICHMOND HILL
128,BRYAN,15015,1955 SGT MICHAEL W LARSON DR,RICHMOND HILL
129,BRYAN,15022,508 TIMBER TRAIL,RICHMOND HILL
130,BULLOCH,16013,351 NORTH GRADY STREET,PORTAL
131,BULLOCH,16002,5023 CLITO RD,STATESBORO
132,BULLOCH,16001,63 LANIER RD,PEMBROKE
133,BULLOCH,16004,416 NORTH CROMLEY ROAD,BROOKLET
134,BULLOCH,16008,3023 HARVILLE ROAD,STATESBORO
135,BULLOCH,16009,16942 US HWY 67,STATESBORO
136,BULLOCH,16019,300 LEE AVE,BROOKLET
137,BULLOCH,16003,4508 ROCKYFORD RD,PORTAL
138,BULLOCH,16007,1757 METTS RD,STATESBORO
139,BULLOCH,16010,8438 NEVILS GROVELAN ROAD,PEMBROKE
140,BULLOCH,16018,1102 FAIR RD,STATESBORO
141,BULLOCH,16006,10 CHURCH STREET,REGISTER
142,BULLOCH,16015,4 SOUTH ZETTEROWER AVE,STATESBORO
143,BULLOCH,16016,16894 HWY 119 CONN,BROOKLET
144,BULLOCH,16011,1934 UNION CHURCH RD,REGISTER
145,BULLOCH,16017,150 WILLIAMS ROAD,STATESBORO
146,BURKE,17022,715 W 6TH ST,WAYNESBORO
147,BURKE,17001,208 GA HIGHWAY 24 S,WAYNESBORO
148,BURKE,17024,717 W 6TH,WAYNESBORO
149,BURKE,17006,4627 GA HIGHWAY 24 S,SARDIS
150,BURKE,17007,5289 GA HIGHWAY 23 S,WAYNESBORO
151,BURKE,17008,1593 SPRING BRANCH CHURCH ROAD,WAYNESBORO
152,BURKE,17010,9987 GA HIGHWAY 305,KEYSVILLE
153,BURKE,17012,6340 GA HIGHWAY 56 S,MILLEN
154,BURKE,17013,4595 ALEXANDER-MUNNERLYN ROAD,WAYNESBORO
155,BURKE,17002,2458 GOUGH RED HILL RD,KEYSVILLE
156,BURKE,17014,150 B BRIGHAM LANDING RD,GIRARD
157,BURKE,17011,2973 WINTER ROAD,BLYTHE
158,BURKE,17015,196 KILPATRICK STREET,MIDVILLE
159,BURKE,17017,1209 ELLISON BRIDGE RD.,SARDIS
160,BURKE,17018,7052 GA HIGHWAY 24 W,WAYNESBORO
161,BURKE,17009,480 MARTIN LUTHER KING DRIVE,KEYSVILLE
162,BUTTS,18012,625 W THIRD ST,JACKSON
163,CALHOUN,19001,28007 MAIN ST,MORGAN
164,CALHOUN,19007,326 MLK JR DR,ARLINGTON
165,CALHOUN,19002,4411 E MAIN ST,LEARY
166,CALHOUN,19011,460 TURNER ST,EDISON
167,CALHOUN,19012,460 TURNER ST,EDISON
168,CAMDEN,20002,10600 COLERAIN ROAD,SAINT MARYS
169,CAMDEN,20002,10600 COLERAIN ROAD,SAINT MARYS
170,CAMDEN,20035,333 SOUTH ASHLEY STREET,KINGSLAND
171,CAMDEN,20009,531 NORTH LEE STREET,KINGSLAND
172,CAMDEN,20006,7354 HARRIETTS BLUFF RD,WOODBINE
173,CAMDEN,20001,140 COLERAIN ROAD,KINGSLAND
174,CAMDEN,20001,140 COLERAIN ROAD,KINGSLAND
