,County,Vote Center ID,Address,City,Latitude,Longitude
73,BERRIEN,10012,516-A COUNTY FARM ROAD,NASHVILLE,31.191827,-83.264799
74,BERRIEN,10003,112 N.W. RAILROAD ST,ALAPAHA,31.381898,-83.225029
75,BERRIEN,10005,569 MAIN ST,ENIGMA,31.409077,-83.329686
76,BERRIEN,10004,8151 MAIN ST,RAY CITY,31.075193,-83.197492
77,BERRIEN,10016,11062 GA - HWY 125,LENOX,31.315386,-83.372191
78,BIBB,11120,1646 UPPER RIVER RD,MACON,32.866196,-83.621114
79,BIBB,11108,1536 MLK BLVD,MACON,32.821464,-83.636859
80,BIBB,11101,1010 NEWBERG AVE,MACON,32.801571,-83.657511
81,BIBB,11014,3660 HOUSTON AVE,MACON,32.798638,-83.651176
82,BIBB,11102,4543 BLOOMFIELD RD,MACON,32.810311,-83.705922
83,BIBB,11100,1780 ANTHONY RD,MACON,32.818654,-83.671457
84,BIBB,11104,2306 VINEVILLE AVE,MACON,32.845229,-83.656249
85,BIBB,11114,1217 FOREST HILL RD,MACON,32.890368,-83.698309
86,BIBB,11111,3805 NAPIER AVE,MACON,32.853136,-83.687408
87,BIBB,11004,4041 MUMFORD RD,MACON,32.847232,-83.691404
88,BIBB,11044,2254 ROCKY CREEK RD.,MACON,32.783708,-83.694414
89,BIBB,11113,5645 FORSYTH RD,MACON,32.89062,-83.747415
90,BIBB,11021,100 CLUBHOUSE RD,MACON,32.861103,-83.772402
91,BIBB,11023,2950 S LIZELLA RD,LIZELLA,32.804555,-83.819965
92,BIBB,11118,390 PIERCE AVE,MACON,32.853376,-83.663055
93,BIBB,11112,5399 HARTLEY BRIDGE RD,MACON,32.73063,-83.743901
94,BIBB,11116,640 WIMBISH RD,MACON,32.87862,-83.686278
95,BIBB,11025,100 UNIVERSITY PKWY,MACON,32.810925,-83.732178
96,BIBB,11029,6751 HOUSTON RD,MACON,32.718403,-83.68981
97,BIBB,11042,3003 TRUITT PL.,MACON,32.869594,-83.569431
98,BIBB,11110,158 LAMAR RD,MACON,32.857664,-83.785627
99,BIBB,11036,565 WIMBISH RD,MACON,32.874174,-83.6876
100,BIBB,11054,5024 NORTHSIDE DR,MACON,32.903197,-83.721046
101,BIBB,11002,5915 ZEBULON RD,MACON,32.88217,-83.757165
102,BIBB,11038,2910 ALLEN RD.,MACON,32.741002,-83.673905
103,BIBB,11105,2003 RIVERSIDE DR,MACON,32.855903,-83.644847
104,BIBB,11006,175 EMERY HWY.,MACON,32.848058,-83.625276
105,BIBB,11027,432 FOREST HILL RD,MACON,32.86853,-83.691577
106,BIBB,11119,1211 SHURLING DR,MACON,32.859086,-83.603124
107,BIBB,11115,4354 JEFFERSONVILLE RD,MACON,32.831277,-83.537234
108,BIBB,11024,1415 BASS RD,MACON,32.921508,-83.737884
109,BLECKLEY,12002,290 ASH STREET,COCHRAN,32.400893,-83.346991
110,BRANTLEY,13006,235 CHICAGO AVE,HOBOKEN,31.185457,-82.130775
111,BRANTLEY,13003,789 BURTON ST,NAHUNTA,31.206849,-81.986509
112,BRANTLEY,13010,25530 HWY 82,WAYNESVILLE,31.229761,-81.783873
113,BROOKS,14011,190 MASSEY ST,BARWICK,30.889172,-83.735633
114,BROOKS,14007,5110 DIXIE ROAD,DIXIE,30.784938,-83.667286
115,BROOKS,14008,1290 CATES RD,VALDOSTA,30.870145,-83.408226
116,BROOKS,14009,178 2ND ST,MORVEN,30.942749,-83.49839
117,BROOKS,14001,400 E COURTLAND AVE,QUITMAN,30.797527,-83.556656
118,BROOKS,14010,7246 MADISON HWY,QUITMAN,30.725495,-83.522901
119,BROOKS,14003,128 HARRIS ST,PAVO,30.959732,-83.735744
120,BRYAN,15007,8810 HIGHWAY 280 E,BLACK CREEK,0,0
121,BRYAN,15013,66 CAPT MATTHEW FREEMAN,RICHMOND HILL,31.881148,-81.259823
122,BRYAN,15011,580 DANIELSIDING LOOP RD,RICHMOND HILL,31.913007,-81.363367
123,BRYAN,15002,9184 FORD AVENUE,RICHMOND HILL,31.95511,-81.322267
124,BRYAN,15020,91 LANIER ST,PEMBROKE,32.133911,-81.620383
